Date,Cot AQ MGD,Cot AQ Acre-ft
2026-09-20,31.0,95.14
2026-09-19,35.4,108.64
2026-09-18,34.6,106.18
2026-09-17,31.9,97.9
2026-09-16,32.6,100.05
2026-09-15,33.4,102.5
2026-09-14,33.9,104.04
2026-09-13,31.0,95.14
2026-09-12,33.5,102.81
2026-09-11,33.8,103.73
2026-09-10,37.5,115.08
2026-09-09,25.3,77.64
2026-09-08,36.3,111.4
2026-09-07,28.7,88.08
2026-09-06,29.5,90.53
2026-09-05,27.0,82.86
2026-09-04,31.3,96.06
2026-09-03,28.2,86.54
2026-09-02,30.0,92.07
2026-09-01,31.0,95.14
2026-08-31,28.4,87.16
2026-08-30,30.3,92.99
2026-08-29,28.6,87.77
2026-08-28,35.6,109.25
2026-08-27,36.0,110.48
2026-08-26,35.5,108.95
2026-08-25,28.3,86.85
2026-08-24,27.7,85.01
2026-08-23,31.9,97.9
2026-08-22,30.5,93.6
